time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = 8.7 V 	Vb = 9 V 	Vb = 9.2 V 	Vb = 9.5 V 
1.43E-4	1532894.66672636	1434471.03915233	1373172.29157993	1287073.66209566
1.44E-4	1531753.40855418	1433372.79326394	1372101.63106596	1286041.82860631
1.45E-4	1530620.52560764	1432282.63395616	1371038.85860521	1285017.59420978
1.46E-4	1529495.8998005	1431200.44667672	1369983.8623012	1284000.85102909
1.47E-4	1528379.41549719	1430126.11926302	1368936.53259576	1282991.49344421
1.48E-4	1527270.9594459	1429059.54187658	1367896.76220467	1281989.41802986
1.49E-4	1526170.42071387	1428000.60693957	1366864.44605554	1280994.52349546
1.5E-4	1525077.69062491	1426949.20907362	1365839.48122776	1280006.71062706
1.51E-4	1523992.66269898	1425905.24504058	1364821.76689448	1279025.88223134
1.52E-4	1522915.23259378	1424868.6136853	1363811.20426652	1278051.94308135
1.53E-4	1521845.29804824	1423839.21588031	1362807.69653813	1277084.79986412
1.54E-4	1520782.7588279	1422816.95447227	1361811.14883455	1276124.36113001
1.55E-4	1519727.51667201	1421801.7342302	1360821.4681613	1275170.53724366
1.56E-4	1518679.47524236	1420793.46179544	1359838.56335508	1274223.2403366
1.57E-4	1517638.54007379	1419792.04563312	1358862.34503628	1273282.38426137
1.58E-4	1516604.61852621	1418797.39598525	1357892.72556301	1272347.88454707
1.59E-4	1515577.61973821	1417809.42482531	1356929.61898661	1271419.65835644
1.6E-4	1514557.45458203	1416828.04581426	1355972.94100856	1270497.62444414
1.61E-4	1513544.03562009	1415853.17425789	1355022.60893872	1269581.70311655
1.62E-4	1512537.2770627	1414884.72706561	1354078.54165492	1268671.8161926
1.63E-4	1511537.0947272	1413922.62271039	1353140.65956378	1267767.88696606
1.64E-4	1510543.40599834	1412966.78119005	1352208.88456279	1266869.84016876
1.65E-4	1509556.12978978	1412017.12398966	1351283.14000343	1265977.60193516
1.66E-4	1508575.18650689	1411073.57404514	1350363.35065562	1265091.09976784
1.67E-4	1507600.49801057	1410136.05570792	1349449.44267304	1264210.26250412
1.68E-4	1506631.98758219	1409204.4947107	1348541.34355962	1263335.02028369
1.69E-4	1505669.57988959	1408278.81813421	1347638.98213703	1262465.30451716
1.7E-4	1504713.20095408	1407358.95437495	1346742.28851307	1261601.0478556
1.71E-4	1503762.77811837	1406444.83311397	1345851.19405109	1260742.184161
1.72E-4	1502818.24001554	1405536.38528645	1344965.63134024	1259888.6484775
1.73E-4	1501879.51653877	1404633.54305222	1344085.53416661	1259040.37700362
1.74E-4	1500946.53881212	1403736.2397672	1343210.83748525	1258197.30706513
1.75E-4	1500019.23916197	1402844.40995554	1342341.47739293	1257359.37708886
1.76E-4	1499097.55108941	1401957.98928268	1341477.39110175	1256526.52657715
1.77E-4	1498181.4092434	1401076.91452913	1340618.51691348	1255698.69608315
1.78E-4	1497270.7493946	1400201.12356496	1339764.79419463	1254875.82718664
