time (s)	Resistance (Ù)	Resistance (Ù)
	Device 1	Device 2
0.04225	16370	11330
0.0423	16370	11330
0.04235	16370	11330
0.0424	16370	11330
0.04245	16370	11330
0.0425	16370	11330
0.04255	16370	11330
0.0426	16370	11330
0.04265	16370	11330
0.0427	16370	11330
0.04275	16370	11330
0.0428	16370	11330
0.04285	16370	11330
0.0429	16370	11330
0.04295	16370	11330
0.043	16370	11330
0.04305	16370	11330
0.0431	16370	11330
0.04315	16370	11330
0.0432	16370	11330
0.04325	16370	11330
0.0433	16380	11330
0.04335	16380	11330
0.0434	16380	11330
0.04345	16380	11330
0.0435	16380	11330
0.04355	16380	11330
0.0436	16380	11330
0.04365	16380	11330
0.0437	16380	11330
0.04375	16380	11330
0.0438	16380	11330
0.04385	16380	11330
0.0439	16380	11330
0.04395	16380	11330
0.044	16380	11330
0.04405	16380	11330
0.0441	16380	11330
0.04415	16380	11330
0.0442	16380	11330
0.04425	16380	11330
0.0443	16380	11330
0.04435	16380	11330
0.0444	16380	11330
0.04445	16380	11330
0.0445	16380	11330
0.04455	16380	11330
0.0446	16380	11330
0.04465	16380	11330
0.0447	16380	11330
0.04475	16380	11330
0.0448	16380	11330
0.04485	16380	11330
0.0449	16380	11330
0.04495	16380	11330
0.045	16380	11330
0.04505	16380	11330
0.0451	16380	11330
0.04515	16380	11330
0.0452	16380	11330
0.04525	16380	11330
0.0453	16380	11330
0.04535	16380	11330
0.0454	16380	11330
0.04545	16380	11330
0.0455	16380	11330
0.04555	16390	11330
0.0456	16390	11330
0.04565	16390	11330
0.0457	16390	11330
0.04575	16390	11330
0.0458	16390	11330
0.04585	16390	11330
0.0459	16390	11330
0.04595	16390	11330
0.046	16390	11330
0.04605	16390	11330
0.0461	16390	11330
0.04615	16390	11330
0.0462	16390	11330
0.04625	16390	11330
0.0463	16390	11330
0.04635	16390	11330
0.0464	16390	11330
0.04645	16390	11330
0.0465	16390	11330
0.04655	16390	11330
0.0466	16390	11330
0.04665	16390	11330
0.0467	16390	11330
0.04675	16390	11330
0.0468	16390	11330
0.04685	16390	11330
0.0469	16390	11330
0.04695	16390	11330
0.047	16390	11330
0.04705	16390	11330
0.0471	16390	11330
0.04715	16390	11330
0.0472	16390	11330
0.04725	16390	11330
0.0473	16390	11330
0.04735	16390	11330
0.0474	16390	11330
0.04745	16390	11330
0.0475	16390	11330
0.04755	16390	11330
0.0476	16390	11330
0.04765	16390	11330
0.0477	16390	11330
0.04775	16390	11330
0.0478	16390	11330
0.04785	16390	11330
0.0479	16390	11330
0.04795	16390	11330
0.048	16390	11330
0.04805	16390	11330
0.0481	16390	11330
0.04815	16390	11330
0.0482	16390	11330
0.04825	16390	11330
0.0483	16390	11330
0.04835	16390	11330
0.0484	16390	11330
0.04845	16390	11330
0.0485	16390	11330
0.04855	16390	11330
0.0486	16390	11330
0.04865	16390	11330
0.0487	16390	11330
0.04875	16390	11330
0.0488	16390	11330
0.04885	16390	11330
0.0489	16390	11330
0.04895	16390	11330
0.049	16390	11330
0.04905	16390	11330
0.0491	16390	11330
0.04915	16390	11330
0.0492	16390	11330
0.04925	16390	11330
0.0493	16390	11330
0.04935	16390	11330
0.0494	16390	11330
0.04945	16390	11330
0.0495	16390	11330
0.04955	16390	11330
0.0496	16390	11330
0.04965	16390	11330
0.0497	16390	11330
0.04975	16390	11330
0.0498	16390	11330
0.04985	16390	11330
0.0499	16390	11330
0.04995	16390	11330
0.05	16390	11330
0.05005	16390	11330
0.0501	16390	11330
0.05015	16390	11330
0.0502	16390	11330
0.05025	16390	11330
0.0503	16390	11330
0.05035	16390	11330
0.0504	16390	11330
0.05045	16390	11330
0.0505	16390	11330
0.05055	16390	11330
0.0506	16390	11330
0.05065	16390	11330
0.0507	16390	11330
0.05075	16390	11330
0.0508	16390	11340
0.05085	16390	11340
0.0509	16390	11340
0.05095	16390	11340
0.051	16390	11340
0.05105	16390	11340
0.0511	16390	11340
0.05115	16390	11340
0.0512	16390	11350
0.05125	16390	11350
0.0513	16390	11350
0.05135	16390	11350
0.0514	16390	11350
0.05145	16390	11350
0.0515	16390	11360
0.05155	16390	11360
0.0516	16390	11360
0.05165	16390	11360
0.0517	16390	11360
0.05175	16390	11370
0.0518	16390	11370
0.05185	16390	11370
0.0519	16390	11370
0.05195	16390	11380
0.052	16390	11380
0.05205	16390	11380
0.0521	16390	11380
0.05215	16390	11390
0.0522	16390	11390
0.05225	16390	11390
0.0523	16390	11400
0.05235	16390	11400
0.0524	16390	11400
0.05245	16390	11410
0.0525	16390	11410
0.05255	16390	11410
0.0526	16390	11420
0.05265	16390	11420
0.0527	16390	11420
0.05275	16390	11430
0.0528	16390	11430
0.05285	16390	11430
0.0529	16390	11440
0.05295	16390	11440
0.053	16390	11450
0.05305	16390	11450
0.0531	16390	11450
0.05315	16390	11460
0.0532	16390	11460
0.05325	16390	11470
0.0533	16390	11470
0.05335	16390	11470
0.0534	16390	11480
0.05345	16390	11480
0.0535	16390	11490
0.05355	16390	11490
0.0536	16390	11500
0.05365	16390	11500
0.0537	16390	11510
0.05375	16390	11510
0.0538	16390	11520
0.05385	16390	11520
0.0539	16390	11530
0.05395	16390	11530
0.054	16390	11540
0.05405	16390	11540
0.0541	16390	11550
0.05415	16390	11550
0.0542	16390	11560
0.05425	16390	11560
0.0543	16390	11570
0.05435	16390	11580
0.0544	16390	11580
0.05445	16390	11590
0.0545	16390	11590
0.05455	16390	11600
0.0546	16390	11610
0.05465	16390	11610
0.0547	16390	11620
0.05475	16390	11620
0.0548	16390	11630
0.05485	16390	11640
0.0549	16390	11640
0.05495	16390	11650
0.055	16390	11660
0.05505	16390	11660
0.0551	16390	11670
0.05515	16390	11670
0.0552	16390	11680
0.05525	16390	11690
0.0553	16390	11700
0.05535	16390	11700
0.0554	16390	11710
0.05545	16390	11720
0.0555	16390	11720
0.05555	16390	11730
0.0556	16390	11740
0.05565	16390	11740
0.0557	16390	11750
0.05575	16390	11760
0.0558	16390	11770
0.05585	16390	11770
0.0559	16390	11780
0.05595	16390	11790
0.056	16390	11800
0.05605	16390	11800
0.0561	16390	11810
0.05615	16390	11820
0.0562	16390	11830
0.05625	16390	11840
0.0563	16390	11840
0.05635	16390	11850
0.0564	16390	11860
0.05645	16390	11870
0.0565	16390	11880
0.05655	16390	11890
0.0566	16390	11890
0.05665	16390	11900
0.0567	16390	11910
0.05675	16390	11920
0.0568	16390	11930
0.05685	16390	11940
0.0569	16390	11940
0.05695	16390	11950
0.057	16390	11960
0.05705	16390	11970
0.0571	16390	11980
0.05715	16390	11990
0.0572	16390	12000
0.05725	16390	12010
0.0573	16390	12020
0.05735	16390	12020
0.0574	16390	12030
0.05745	16390	12040
