time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = -7 V 	Vb = -8 V 	Vb = -9 V 	Vb = -10 V 
4.88488488488488E-4	3087470.73838103	2559464.86054266	2157052.75861405	1879534.68320606
4.89489489489489E-4	3088397.83565776	2560360.65735274	2157884.37881864	1880275.10841055
4.9049049049049E-4	3089323.0682166	2561254.71311366	2158714.49829336	1881014.46134095
4.91491491491491E-4	3090246.57933776	2562147.03458003	2159543.12244482	1881752.3930173
4.92492492492493E-4	3091167.96908022	2563037.62846721	2160370.25665051	1882489.37726041
4.93493493493493E-4	3092087.65222269	2563926.50145163	2161195.90625894	1883225.06561934
4.94494494494494E-4	3093005.50032337	2564813.55378486	2162020.07658988	1883959.57926839
4.95495495495495E-4	3093921.65540406	2565699.11122512	2162842.64547894	1884693.03861569
4.96496496496497E-4	3094835.85503509	2566582.75519723	2163664.00055584	1885425.09740075
4.97497497497497E-4	3095748.24141999	2567464.8107699	2164483.63768675	1886156.22561364
4.98498498498498E-4	3096658.82173741	2568345.17824771	2165302.07053933	1886886.07751503
4.99499499499499E-4	3097567.60312344	2569223.86407972	2166118.79673633	1887614.77325669
5.00500500500501E-4	3098474.59267195	2570100.87467813	2166934.20175734	1888342.31649576
5.01501501501501E-4	3099379.79743496	2570976.21641854	2167748.16395054	1889068.71087207
5.02502502502502E-4	3100283.3572862	2571849.89564018	2168560.68841296	1889794.07538439
5.03503503503504E-4	3101184.88060504	2572721.81407334	2169371.78021468	1890518.18270446
5.04504504504504E-4	3102084.77290968	2573592.29170425	2170181.44439902	1891241.15197898
5.05505505505505E-4	3102982.90822457	2574460.91686769	2170989.68598268	1891962.98677956
5.06506506506506E-4	3103879.42522588	2575328.00888612	2171796.509956	1892683.69066103
5.07507507507508E-4	3104774.06680763	2576193.469546	2172601.92128309	1893403.38163596
5.08508508508508E-4	3105666.97182354	2577057.30497431	2173405.80033984	1894121.8340984
5.09509509509509E-4	3106558.14700214	2577919.52126359	2174208.52572505	1894839.28032475
5.1051051051051E-4	3107447.59903296	2578780.1244722	2175009.60451007	1895555.38145075
5.11511511511512E-4	3108335.33456678	2579639.12062454	2175809.41459112	1896270.59706494
5.12512512512512E-4	3109221.36021597	2580496.41289095	2176607.96015705	1896984.58880324
5.13513513513513E-4	3110105.81261109	2581352.31568986	2177404.87492411	1897697.47404599
5.14514514514515E-4	3110988.43792652	2582206.42404535	2178200.65804295	1898409.25621741
5.15515515515516E-4	3111869.24340902	2583059.05173641	2178994.82076457	1899119.93872588
5.16516516516516E-4	3112748.49488491	2583910.2040524	2179787.73763698	1899829.63785033
5.17517517517517E-4	3113626.19803658	2584759.58063877	2180579.29010142	1900538.13102124
5.18518518518519E-4	3114502.10087672	2585607.49346988	2181369.48284541	1901245.53466059
5.1951951951952E-4	3115376.33906807	2586453.84624735	2182158.32053238	1901951.8521142
5.2052052052052E-4	3116248.91892595	2587298.64470125	2182945.80780179	1902657.08671256
5.21521521521521E-4	3117119.8467298	2588141.79340451	2183731.94926932	1903361.3537938
5.22522522522523E-4	3117989.12872347	2588983.60140126	2184516.74952703	1904064.43244085
5.23523523523523E-4	3118856.89872101	2589823.67019431	2185300.21314351	1904766.43813316
5.24524524524524E-4	3119722.90744477	2590662.3082113	2186082.22348758	1905467.37414057
5.25525525525526E-4	3120587.28887985	2591499.52047647	2186863.1486108	1906167.24371799
5.26526526526527E-4	3121449.92224212	2592335.0113637	2187642.50871676	1906866.16127822
5.27527527527527E-4	3122311.1942661	2593169.08755777	2188420.79175672	1907563.90753268
5.28528528528528E-4	3123170.73032288	2594001.65415282	2189197.51952725	1908260.59703377
5.2952952952953E-4	3124028.66330273	2594832.71660345	2189973.05814558	1908956.23297761
5.30530530530531E-4	3124884.99917415	2595662.18084893	2190747.29145843	1909650.92904757
5.31531531531531E-4	3125739.74387237	2596490.25143559	2191520.22385233	1910344.46724096
5.32532532532532E-4	3126592.90329959	2597316.93319335	2192291.85969171	1911036.96137943
5.33533533533534E-4	3127444.48332526	2598141.93407423	2193062.20331912	1911728.41460171
