time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = -7 V 	Vb = -8 V 	Vb = -9 V 	Vb = -10 V 
2.5E-4	1480050.96865531	1833177.77701322	2274509.01596111	2703169.556209
2.51E-4	1481128.18994257	1835088.51085571	2276923.73651646	2705621.6566022
2.52E-4	1482204.28209723	1836995.03851456	2279330.16097694	2708063.25442521
2.53E-4	1483279.24690184	1838897.37463847	2281728.33665348	2710494.4270915
2.54E-4	1484353.08613548	1840795.53380992	2284118.3104913	2712915.25122047
2.55E-4	1485425.80157377	1842689.53054547	2286500.12907342	2715325.80264778
2.56E-4	1486497.3949889	1844579.37929615	2288873.83862412	2717726.15643553
2.57E-4	1487567.86814962	1846465.09444777	2291239.48501236	2720116.38688224
2.58E-4	1488637.22282125	1848346.69032133	2293597.11375517	2722496.56753273
2.59E-4	1489705.46076567	1850224.18117328	2295946.77002097	2724866.77118779
2.6E-4	1490772.58374138	1852097.58119592	2298288.49863291	2727227.06991375
2.61E-4	1491838.59350344	1853966.90451775	2300622.34407211	2729577.53505188
2.62E-4	1492903.49180352	1855832.16520375	2302948.35048092	2731918.23722764
2.63E-4	1493967.28038991	1857693.37725577	2305266.5616661	2734249.24635977
2.64E-4	1495029.96100749	1859550.55461286	2307577.02110197	2736570.63166931
2.65E-4	1496091.53539778	1861403.71115156	2309879.77193358	2738882.46168842
2.66E-4	1497152.00529891	1863252.86068628	2312174.85697976	2741184.80426905
2.67E-4	1498211.37244566	1865098.0169696	2314462.31873621	2743477.72659155
2.68E-4	1499269.63856944	1866939.19369262	2316742.1993785	2745761.29517311
2.69E-4	1500326.80539831	1868776.40448526	2319014.54076507	2748035.57587603
2.7E-4	1501382.874657	1870609.6629166	2321279.38444021	2750300.63391597
2.71E-4	1502437.84806689	1872438.98249519	2323536.77163695	2752556.53386994
2.72E-4	1503491.72734603	1874264.37666937	2325786.74327997	2754803.33968433
2.73E-4	1504544.51420914	1876085.85882762	2328029.33998849	2757041.11468264
2.74E-4	1505596.21036764	1877903.44229881	2330264.60207905	2759269.92157326
2.75E-4	1506646.81752963	1879717.14035259	2332492.56956834	2761489.82245703
2.76E-4	1507696.33739992	1881526.96619963	2334713.28217598	2763700.87883471
2.77E-4	1508744.77168	1883332.932992	2336926.77932725	2765903.15161438
2.78E-4	1509792.1220681	1885135.05382341	2339133.10015578	2768096.70111868
2.79E-4	1510838.39025915	1886933.34172958	2341332.28350625	2770281.58709196
2.8E-4	1511883.5779448	1888727.80968849	2343524.36793706	2772457.86870731
2.81E-4	1512927.68681346	1890518.47062073	2345709.39172291	2774625.60457354
2.82E-4	1513970.71855025	1892305.33738976	2347887.39285743	2776784.85274202
2.83E-4	1515012.67483705	1894088.42280223	2350058.40905573	2778935.67071339
2.84E-4	1516053.5573525	1895867.73960831	2352222.47775695	2781078.11544421
2.85E-4	1517093.36777197	1897643.3005019	2354379.63612676	2783212.24335353
2.86E-4	1518132.10776763	1899415.11812103	2356529.92105985	2785338.11032932
2.87E-4	1519169.77900841	1901183.20504806	2358673.36918239	2787455.77173485
2.88E-4	1520206.38316002	1902947.57381003	2360810.01685447	2789565.28241492
2.89E-4	1521241.92188495	1904708.23687893	2362939.90017248	2791666.69670209
2.9E-4	1522276.39684249	1906465.20667199	2365063.05497153	2793760.06842271
2.91E-4	1523309.80968874	1908218.49555196	2367179.51682776	2795845.45090295
2.92E-4	1524342.16207659	1909968.11582739	2369289.32106071	2797922.89697473
2.93E-4	1525373.45565575	1911714.07975294	2371392.5027356	2799992.45898151
2.94E-4	1526403.69207276	1913456.39952963	2373489.09666562	2802054.18878408
2.95E-4	1527432.87297097	1915195.08730515	2375579.13741419	2804108.13776618
2.96E-4	1528460.99999058	1916930.15517408	2377662.65929718	2806154.35684013
2.97E-4	1529488.07476862	1918661.61517824	2379739.69638512	2808192.89645231
2.98E-4	1530514.09893897	1920389.47930693	2381810.28250543	2810223.80658859
2.99E-4	1531539.07413237	1922113.75949719	2383874.4512445	2812247.13677969
3E-4	1532563.00197642	1923834.46763409	2385932.23594991	2814262.93610647
3.01E-4	1533585.88409557	1925551.61555099	2387983.66973251	2816271.25320509
3.02E-4	1534607.72211116	1927265.21502982	2390028.78546849	2818272.1362722
3.03E-4	1535628.51764142	1928975.27780134	2392067.61580152	2820265.63306995
3.04E-4	1536648.27230143	1930681.81554541	2394100.19314476	2822251.79093099
3.05E-4	1537666.98770321	1932384.83989122	2396126.54968287	2824230.65676343
3.06E-4	1538684.66545566	1934084.36241761	2398146.71737408	2826202.27705564
3.07E-4	1539701.30716456	1935780.3946533	2400160.72795211	2828166.69788104
3.08E-4	1540716.91443265	1937472.94807714	2402168.61292821	2830123.96490285
3.09E-4	1541731.48885956	1939162.03411838	2404170.40359303	2832074.12337875
3.1E-4	1542745.03204185	1940847.66415693	2406166.13101861	2834017.2181654
3.11E-4	1543757.54557302	1942529.8495236	2408155.82606025	2835953.29372306
3.12E-4	1544769.03104351	1944208.60150037	2410139.51935844	2837882.39411998
3.13E-4	1545779.4900407	1945883.93132063	2412117.24134066	2839804.56303687
3.14E-4	1546788.92414892	1947555.85016944	2414089.0222233	2841719.84377118
3.15E-4	1547797.33494946	1949224.36918375	2416054.89201343	2843628.27924144
3.16E-4	1548804.72402059	1950889.49945271	2418014.88051067	2845529.91199145
3.17E-4	1549811.09293752	1952551.25201784	2419969.01730893	2847424.7841945
3.18E-4	1550816.44327247	1954209.63787334	2421917.33179821	2849312.93765742
3.19E-4	1551820.77659464	1955864.66796627	2423859.85316637	2851194.4138247
3.2E-4	1552824.09447019	1957516.35319686	2425796.61040082	2853069.25378245
3.21E-4	1553826.3984623	1959164.70441869	2427727.63229029	2854937.49826239
3.22E-4	1554827.69013117	1960809.73243898	2429652.94742651	2856799.18764573
3.23E-4	1555827.97103399	1962451.44801877	2431572.58420591	2858654.361967
3.24E-4	1556827.24272495	1964089.86187322	2433486.57083125	2860503.06091789
3.25E-4	1557825.50675529	1965724.98467181	2435394.93531334	2862345.32385097
3.26E-4	1558822.76467327	1967356.82703855	2437297.7054726	2864181.18978337
3.27E-4	1559819.01802419	1968985.39955226	2439194.90894072	2866010.69740048
3.28E-4	1560814.26835037	1970610.71274679	2441086.57316227	2867833.88505948
3.29E-4	1561808.5171912	1972232.77711122	2442972.72539626	2869650.79079297
3.3E-4	1562801.76608312	1973851.60309012	2444853.39271772	2871461.45231241
3.31E-4	1563794.01655963	1975467.20108375	2446728.60201926	2873265.90701161
3.32E-4	1564785.27015128	1977079.58144833	2448598.3800126	2875064.19197016
3.33E-4	1565775.52838571	1978688.75449619	2450462.7532301	2876856.34395676
3.34E-4	1566764.79278763	1980294.73049609	2452321.74802627	2878642.3994326
3.35E-4	1567753.06487885	1981897.51967334	2454175.39057925	2880422.39455459
3.36E-4	1568740.34617825	1983497.13221011	2456023.70689229	2882196.36517863
3.37E-4	1569726.63820181	1985093.57824558	2457866.72279523	2883964.34686283
3.38E-4	1570711.94246264	1986686.8678762	2459704.46394596	2885726.37487063
3.39E-4	1571696.26047092	1988277.0111559	2461536.95583178	2887482.48417392
3.4E-4	1572679.59373398	1989864.01809628	2463364.22377092	2889232.70945616
