time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = 0.65 V	Vb = 0.7 V	Vb = 0.75 V	Vb = 0.8 V	Vb = 0.85 V	Vb = 0.9 V	Vb = 0.95 V	Vb = 1 V
2.00840840840841E-5	215.280958393866	250.763305169812	296.200597279202	351.616986435253	417.038884462155	492.482713903606	577.865750770187	672.298009040712
2.01081081081081E-5	215.278016616659	250.759354402408	296.195400567157	351.610285730734	417.030415532889	492.472267240303	577.853523356367	672.287036729206
2.01321321321321E-5	215.275091456156	250.755424265078	296.190228915681	351.603614841005	417.021981343996	492.461860046022	577.841338365678	672.276098711616
2.01561561561562E-5	215.272182817648	250.75151464868	296.185082201659	351.596973629927	417.013581747843	492.451492164457	577.829195641887	672.265194874187
2.01801801801802E-5	215.269290606977	250.747625444666	296.179960302601	351.590361962017	417.005216597467	492.441163439974	577.817095029395	672.254325103582
2.02042042042042E-5	215.26641473053	250.743756545076	296.174863096641	351.583779702437	416.996885746571	492.430873717611	577.80503637324	672.243489286883
2.02282282282282E-5	215.263555095239	250.739907842533	296.169790462533	351.577226717	416.988589049521	492.420622843072	577.793019519092	672.232687311583
2.02522522522523E-5	215.260711608571	250.736079230246	296.164742279648	351.570702872156	416.980326361342	492.410410662722	577.78104431325	672.221919065592
2.02762762762763E-5	215.257884178535	250.732270602	296.159718427969	351.564208034998	416.972097537714	492.400237023589	577.769110602639	672.211184437228
2.03003003003003E-5	215.255072713668	250.728481852156	296.154718788088	351.557742073252	416.963902434971	492.390101773357	577.757218234806	672.200483315221
2.03243243243243E-5	215.252277123039	250.724712875648	296.149743241207	351.551304855278	416.955740910096	492.380004760363	577.745367057918	672.189815588705
2.03483483483483E-5	215.249497316246	250.720963567979	296.144791669127	351.544896250064	416.947612820717	492.369945833595	577.733556920761	672.179181147225
2.03723723723724E-5	215.246733203406	250.717233825218	296.139863954253	351.538516127225	416.939518025107	492.359924842688	577.721787672733	672.168579880725
2.03963963963964E-5	215.24398469516	250.713523543994	296.134959979584	351.532164356997	416.931456382176	492.349941637922	577.710059163845	672.158011679555
