time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = -1 V	Vb = -1.15 V	Vb = -1.3 V	Vb = -1.45 V	Vb = -1.6 V	Vb = -1.75 V
8.832E-6	249.989786649379	250.004257146059	251.365532826657	299.745415373507	644.599283382721	905.962010989633
8.856E-6	249.989786745737	250.004296563543	251.369263476095	299.869949017685	644.97003363463	906.149906426438
8.88E-6	249.989786842094	250.004335981022	251.37299408285	299.994428537968	645.339580453018	906.337180566096
8.904E-6	249.989786938452	250.004375398496	251.376724646921	300.118853963392	645.707930447194	906.523837195785
8.928E-6	249.98978703481	250.004414815966	251.380455168311	300.243225322978	646.075090176542	906.709880069247
8.952E-6	249.989787131168	250.00445423343	251.384185647019	300.367542645737	646.441066150997	906.895312907174
8.976E-6	249.989787227526	250.00449365089	251.387916083045	300.491805960665	646.805864831511	907.080139397586
9E-6	249.989787323884	250.004533068346	251.391646476392	300.616015296747	647.169492630518	907.264363196208
9.024E-6	249.989787420242	250.004572485796	251.395376827058	300.740170682955	647.531955912387	907.447987926839
9.048E-6	249.989787516599	250.004611903242	251.399107135044	300.864272148249	647.893260993878	907.631017181714
9.072E-6	249.989787612957	250.004651320683	251.402837400352	300.988319721574	648.253414144589	907.813454521865
9.096E-6	249.989787709315	250.004690738119	251.406567622982	301.112313431866	648.612421587394	907.995303477475
9.12E-6	249.989787805673	250.004730155551	251.410297802933	301.236253308047	648.970289498889	908.176567548225
9.144E-6	249.989787902031	250.004769572977	251.414027940207	301.360139379024	649.327024009814	908.357250203639
9.168E-6	249.989787998389	250.004808990399	251.417758034805	301.483971673695	649.682631205488	908.537354883425
9.192E-6	249.989788094747	250.004848407817	251.421488086726	301.607750220944	650.037117126229	908.716884997809
9.216E-6	249.989788191104	250.004887825229	251.425218095972	301.731475049641	650.390487767773	908.895843927861
9.24E-6	249.989788287462	250.004927242637	251.428948062543	301.855146188645	650.742749081687	909.074235025828
9.264E-6	249.98978838382	250.00496666004	251.432677986439	301.978763666803	651.093906975776	909.252061615448
9.288E-6	249.989788480178	250.005006077438	251.436407867661	302.102327512948	651.443967314493	909.42932699227
9.312E-6	249.989788576536	250.005045494832	251.44013770621	302.2258377559	651.792935919333	909.606034423966
9.336E-6	249.989788672894	250.005084912221	251.443867502086	302.349294424469	652.140818569232	909.782187150638
9.36E-6	249.989788769252	250.005124329605	251.44759725529	302.472697547448	652.487621000957	909.957788385124
9.384E-6	249.989788865609	250.005163746984	251.451326965822	302.596047153621	652.833348909493	910.132841313294
9.408E-6	249.989788961967	250.005203164358	251.455056633683	302.719343271759	653.178007948427	910.307349094348
9.432E-6	249.989789058325	250.005242581728	251.458786258873	302.842585930619	653.521603730323	910.481314861109
9.456E-6	249.989789154683	250.005281999093	251.462515841393	302.965775158946	653.864141827103	910.654741720307
9.48E-6	249.989789251041	250.005321416454	251.466245381243	303.088910985472	654.205627770408	910.827632752866
9.504E-6	249.989789347399	250.005360833809	251.469974878424	303.211993438917	654.546067051975	910.999991014182
9.528E-6	249.989789443757	250.00540025116	251.473704332937	303.335022547987	654.885465123989	911.171819534402
9.552E-6	249.989789540114	250.005439668506	251.477433744782	303.457998341378	655.22382739945	911.343121318692
9.576E-6	249.989789636472	250.005479085847	251.48116311396	303.58092084777	655.561159252521	911.513899347511
9.6E-6	249.98978973283	250.005518503184	251.484892440471	303.703790095833	655.897466018883	911.684156576873
