time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = 0.65 V	Vb = 0.7 V	Vb = 0.75 V	Vb = 0.8 V	Vb = 0.85 V	Vb = 0.9 V	Vb = 0.95 V	Vb = 1 V
4.416E-6	711.449382248334	636.48486867946	545.509632578587	465.536064291077	398.192247825472	340.873356970368	291.305050188843	247.828982132449
4.44E-6	711.322202554244	636.225096306601	545.234979778711	465.280936975735	397.957118543169	340.654746918155	291.099897508834	247.63495063448
4.464E-6	711.195290339198	635.966544042946	544.961850121404	465.02725875248	397.723325712496	340.437376014594	290.895904316463	247.442012964947
4.488E-6	711.068644521718	635.709200861233	544.690227306512	464.775013694985	397.490854602506	340.221230615009	290.693057863369	247.250157114129
4.512E-6	710.942264026777	635.453055881196	544.420095291331	464.524186135508	397.259690722319	340.00629729701	290.491345608672	247.059371267578
4.536E-6	710.816147785757	635.198098366987	544.151438285244	464.274760659352	397.029819815957	339.792562855711	290.290755214517	246.869643801928
4.56E-6	710.690294736394	634.944317724645	543.884240744498	464.026722099476	396.80122785732	339.580014299077	290.09127454173	246.680963280808
4.584E-6	710.564703822728	634.691703499622	543.618487367113	463.78005553124	396.573901045289	339.368638843392	289.89289164559	246.49331845087
4.608E-6	710.439373995056	634.440245374363	543.354163087923	463.534746267295	396.347825798966	339.158423908848	289.695594771718	246.306698237917
4.632E-6	710.314304209881	634.189933165942	543.091253073739	463.290779852606	396.122988753031	338.94935711525	289.499372352067	246.121091743136
4.656E-6	710.189493429864	633.940756823739	542.829742718639	463.048142059597	395.899376753226	338.741426277832	289.304213001022	245.936488239426
4.68E-6	710.064940623778	633.692706427177	542.569617639374	462.806818883434	395.676976851955	338.534619403184	289.110105511597	245.752877167824
4.704E-6	709.940644766455	633.4457721835	542.310863670892	462.56679653742	395.455776303995	338.32892468528	288.917038851735	245.570248134025
4.728E-6	709.816604838747	633.199944425602	542.053466861969	462.32806144851	395.235762562322	338.124330501616	288.725002160699	245.388590904983
4.752E-6	709.692819827471	632.955213609898	541.797413470952	462.090600252942	395.01692327404	337.920825409436	288.533984745557	245.207895405611
4.776E-6	709.569288725369	632.711570314247	541.542689961603	461.854399791978	394.799246276416	337.718398142065	288.343976077756	245.028151715554
4.8E-6	709.446010531059	632.469005235905	541.289282999053	461.619447107754	394.582719593013	337.517037605328	288.154965789786	244.849350066052
4.824E-6	709.322984248991	632.227509189538	541.037179445847	461.385729439228	394.367331429923	337.31673287406	287.966943671922	244.671480836875
4.848E-6	709.200208889401	631.98707310526	540.786366358088	461.153234218238	394.153070172094	337.117473188707	287.77989966905	244.494534553342
4.872E-6	709.07768346827	631.747688026723	540.536830981674	460.921949065653	393.939924379746	336.919247952009	287.593823877579	244.318501883408
4.896E-6	708.955407007275	631.509345109241	540.288560748627	460.691861787617	393.727882784882	336.722046725765	287.408706542418	244.143373634825
4.92E-6	708.833378533746	631.272035617951	540.04154327351	460.462960371895	393.516934287877	336.525859227681	287.224538054035	243.969140752377
