time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = 8.7 V	Vb = 9 V	Vb = 9.2 V	Vb = 9.5 V
3.74374374374374E-4	1152819.22645392	1210935.43823095	1261810.73703795	1356291.89447828
3.75375375375375E-4	1152388.07184443	1210503.93811476	1261379.08777464	1355860.22842715
3.76376376376376E-4	1151958.07534178	1210073.59559424	1260948.59547825	1355429.71749549
3.77377377377377E-4	1151529.23079704	1209644.40452453	1260519.25400896	1355000.35555821
3.78378378378378E-4	1151101.53211008	1209216.3588096	1260091.05727571	1354572.13653881
3.79379379379379E-4	1150674.9732291	1208789.45240169	1259663.99923567	1354145.05440886
3.8038038038038E-4	1150249.54815015	1208363.67930083	1259238.07389371	1353719.1031875
3.81381381381381E-4	1149825.25091655	1207939.03355429	1258813.27530197	1353294.27694095
3.82382382382382E-4	1149402.07561847	1207515.50925614	1258389.59755925	1352870.56978201
3.83383383383383E-4	1148980.01639238	1207093.10054673	1257967.03481064	1352447.97586955
3.84384384384384E-4	1148559.06742062	1206671.80161222	1257545.58124696	1352026.48940807
3.85385385385385E-4	1148139.22293088	1206251.6066841	1257125.23110432	1351606.10464722
3.86386386386386E-4	1147720.47719577	1205832.51003869	1256705.97866364	1351186.81588129
3.87387387387387E-4	1147302.8245323	1205414.50599675	1256287.81825017	1350768.6174488
3.88388388388388E-4	1146886.25930149	1204997.58892295	1255870.74423309	1350351.50373202
3.89389389389389E-4	1146470.77590787	1204581.75322545	1255454.75102498	1349935.46915652
3.9039039039039E-4	1146056.36879903	1204166.99335545	1255039.83308142	1349520.50819075
3.91391391391391E-4	1145643.03246521	1203753.30380674	1254625.98490057	1349106.61534555
3.92392392392392E-4	1145230.76143886	1203340.67911529	1254213.20102268	1348693.78517377
3.93393393393393E-4	1144819.55029417	1202929.11385878	1253801.47602971	1348282.01226982
3.94394394394394E-4	1144409.39364671	1202518.60265623	1253390.80454486	1347871.29126925
3.95395395395395E-4	1144000.28615294	1202109.14016753	1252981.1812322	1347461.61684832
3.96396396396396E-4	1143592.22250987	1201700.72109305	1252572.60079624	1347052.98372363
3.97397397397397E-4	1143185.19745459	1201293.34017323	1252165.0579815	1346645.38665166
3.98398398398398E-4	1142779.20576389	1200886.99218818	1251758.54757214	1346238.82042841
3.99399399399399E-4	1142374.24225387	1200481.67195729	1251353.06439155	1345833.27988899
4.004004004004E-4	1141970.30177953	1200077.3743388	1250948.60330194	1345428.75990722
4.01401401401401E-4	1141567.37923441	1199674.09422947	1250545.15920398	1345025.25539527
4.02402402402402E-4	1141165.46955018	1199271.82656413	1250142.72703642	1344622.76130324
4.03403403403403E-4	1140764.56769624	1198870.56631537	1249741.30177566	1344221.27261883
4.04404404404404E-4	1140364.66867942	1198470.30849312	1249340.87843545	1343820.78436692
4.05405405405405E-4	1139965.76754352	1198071.04814428	1248941.45206648	1343421.29160923
4.06406406406406E-4	1139567.85936903	1197672.78035238	1248543.017756	1343022.78944398
4.07407407407407E-4	1139170.9392727	1197275.50023722	1248145.57062752	1342625.27300547
4.08408408408408E-4	1138775.00240723	1196879.20295448	1247749.10584038	1342228.73746377
4.09409409409409E-4	1138380.04396088	1196483.88369542	1247353.61858945	1341833.17802439
4.1041041041041E-4	1137986.05915718	1196089.53768649	1246959.10410478	1341438.58992786
4.11411411411411E-4	1137593.04325451	1195696.16018899	1246565.55765123	1341044.96844947
4.12412412412412E-4	1137200.99154584	1195303.74649876	1246172.97452817	1340652.30889888
4.13413413413413E-4	1136809.89935832	1194912.29194584	1245781.35006911	1340260.60661983
4.14414414414414E-4	1136419.76205302	1194521.79189409	1245390.67964138	1339869.85698975
4.15415415415415E-4	1136030.57502454	1194132.24174095	1245000.95864582	1339480.05541949
4.16416416416416E-4	1135642.33370074	1193743.63691702	1244612.18251645	1339091.197353
4.17417417417417E-4	1135255.03354239	1193355.97288584	1244224.34672013	1338703.27826695
4.18418418418418E-4	1134868.67004285	1192969.24514349	1243837.44675628	1338316.2936705
4.19419419419419E-4	1134483.23872778	1192583.44921832	1243451.47815656	1337930.23910492
4.2042042042042E-4	1134098.73515483	1192198.58067066	1243066.43648452	1337545.11014334
4.21421421421421E-4	1133715.15491331	1191814.63509247	1242682.31733538	1337160.9023904
4.22422422422422E-4	1133332.49362394	1191431.60810706	1242299.11633564	1336777.61148199
4.23423423423423E-4	1132950.74693848	1191049.49536882	1241916.82914285	1336395.23308493
