time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = -1 V	Vb = -1.15 V	Vb = -1.3 V	Vb = -1.45 V	Vb = -1.6 V	Vb = -1.75 V
8.36036036036036E-6	903.383870758384	730.526744737247	587.669003413259	475.077042896676	393.770099296537	344.36634631396
8.38438438438438E-6	903.49218677779	730.639004589248	587.785061156425	475.195396954394	393.88538337808	344.471704097092
8.40840840840841E-6	903.600066190208	730.750824679919	587.900677619549	475.313317681055	394.000272560936	344.576738657149
8.43243243243243E-6	903.707511596905	730.86220761048	588.015855392094	475.430807576418	394.114769008931	344.681451593072
8.45645645645646E-6	903.814525576912	730.973155959925	588.130597041443	475.547869119187	394.228874868516	344.785844492185
8.48048048048048E-6	903.921110687279	731.083672285279	588.244905113151	475.664504767238	394.342592268952	344.889918930314
8.5045045045045E-6	904.027269463321	731.19375912185	588.358782131191	475.780716957857	394.45592332249	344.993676471895
8.52852852852853E-6	904.133004418866	731.303418983464	588.472230598199	475.896508107968	394.568870124559	345.097118670083
8.55255255255255E-6	904.238318046493	731.412654362718	588.585252995708	476.011880614356	394.681434753936	345.200247066859
8.57657657657658E-6	904.343212817774	731.521467731209	588.697851784393	476.126836853896	394.793619272928	345.30306319314
8.6006006006006E-6	904.447691183506	731.629861539775	588.810029404294	476.241379183766	394.905425727542	345.405568568883
8.62462462462462E-6	904.551755573945	731.737838218724	588.921788275054	476.35550994167	395.016856147657	345.507764703189
8.64864864864865E-6	904.655408399033	731.845400178061	589.033130796142	476.469231446045	395.127912547193	345.609653094406
8.67267267267267E-6	904.758652048625	731.952549807716	589.144059347077	476.582545996281	395.23859692428	345.711235230233
8.6966966966967E-6	904.861488892709	732.059289477764	589.254576287646	476.69545587292	395.348911261417	345.812512587817
8.72072072072072E-6	904.963921281627	732.165621538645	589.364683958126	476.807963337867	395.458857525642	345.913486633855
8.74474474474475E-6	905.065951546287	732.271548321381	589.474384679495	476.92007063459	395.568437668685	346.014158824693
8.76876876876877E-6	905.167581998385	732.377072137785	589.583680753643	477.03177998832	395.677653627132	346.11453060642
8.79279279279279E-6	905.268814930605	732.482195280678	589.692574463584	477.143093606249	395.786507322578	346.214603414968
8.81681681681682E-6	905.369652616834	732.586920024087	589.801068073658	477.254013677723	395.895000661783	346.314378676202
8.84084084084084E-6	905.470097312361	732.691248623459	589.909163829735	477.364542374435	396.003135536821	346.413857806019
8.86486486486486E-6	905.570151254085	732.795183315855	590.016863959416	477.474681850613	396.110913825235	346.513042210438
8.88888888888889E-6	905.669816660705	732.898726320155	590.124170672229	477.584434243207	396.218337390184	346.611933285692
8.91291291291291E-6	905.769095732928	733.001879837249	590.231086159826	477.693801672074	396.325408080584	346.710532418317
8.93693693693694E-6	905.867990653651	733.104646050235	590.337612596171	477.802786240157	396.432127731264	346.808840985245
8.96096096096096E-6	905.966503588162	733.207027124605	590.443752137734	477.911390033669	396.538498163095	346.906860353889
8.98498498498498E-6	906.064636684321	733.30902520844	590.549506923678	478.019615122266	396.644521183143	347.004591882233
9.00900900900901E-6	906.16239207275	733.410642432589	590.654879076038	478.127463559221	396.750198584802	347.102036918917
9.03303303303303E-6	906.259771867017	733.511880910859	590.75987069991	478.234937381601	396.855532147932	347.199196803323
9.05705705705706E-6	906.356778163814	733.61274274019	590.864483883626	478.342038610433	396.960523638995	347.296072865661
9.08108108108108E-6	906.453413043139	733.713230000838	590.968720698933	478.448769250871	397.065174811191	347.392666427047
9.10510510510511E-6	906.549678568471	733.813344756549	591.072583201167	478.555131292366	397.169487404588	347.488978799594
9.12912912912913E-6	906.645576786942	733.913089054734	591.176073429429	478.661126708827	397.273463146255	347.585011286487
9.15315315315315E-6	906.741109729513	734.01246492664	591.279193406751	478.766757458779	397.377103750388	347.680765182066
9.17717717717718E-6	906.83627941114	734.11147438752	591.381945140267	478.87202548553	397.480410918439	347.776241771906
9.2012012012012E-6	906.931087830943	734.2101194368	591.484330621375	478.976932717322	397.583386339244	347.871442332897
9.22522522522522E-6	907.025536972371	734.308402058242	591.586351825908	479.081481067486	397.686031689144	347.966368133319
9.24924924924925E-6	907.119628803363	734.406324220112	591.688010714289	479.185672434599	397.788348632112	348.061020432922
9.27327327327327E-6	907.213365276514	734.503887875335	591.789309231693	479.289508702634	397.890338819867	348.155400483
9.2972972972973E-6	907.306748329225	734.601094961657	591.890249308206	479.392991741106	397.992003892004	348.24950952647
9.32132132132132E-6	907.399779883868	734.697947401801	591.990832858978	479.496123405226	398.093345476103	348.343348797943
9.34534534534534E-6	907.492461847939	734.794447103621	592.091061784378	479.598905536039	398.194365187852	348.436919523797
9.36936936936937E-6	907.584796114206	734.890595960254	592.190937970145	479.701339960572	398.29506463116	348.530222922257
9.39339339339339E-6	907.676784560865	734.986395850274	592.290463287536	479.803428491976	398.395445398272	348.623260203457
9.41741741741742E-6	907.768429051687	735.081848637836	592.389639593478	479.905172929665	398.495509069881	348.71603256952
9.44144144144144E-6	907.859731436164	735.176956172828	592.488468730711	480.006575059452	398.595257215239	348.808541214624
