time (s)	Resistance (Ù)	Resistance (Ù)
	Device 1	Device 2
0.02395	15430	11970
0.02398	15440	11960
0.02402	15440	11950
0.02405	15450	11950
0.02408	15450	11940
0.02411	15460	11930
0.02414	15460	11920
0.02417	15470	11910
0.0242	15480	11910
0.02423	15480	11900
0.02426	15490	11890
0.02429	15490	11890
0.02432	15500	11880
0.02435	15500	11870
0.02438	15510	11870
0.0244	15510	11860
0.02443	15510	11850
0.02446	15520	11850
0.02449	15520	11840
0.02451	15530	11840
0.02454	15530	11830
0.02457	15540	11830
0.02459	15540	11820
0.02462	15550	11810
0.02465	15550	11810
0.02467	15550	11800
0.0247	15560	11800
0.02472	15560	11790
0.02475	15570	11790
0.02477	15570	11780
0.0248	15580	11780
0.02482	15580	11770
0.02485	15580	11770
0.02487	15590	11760
0.0249	15590	11760
0.02492	15600	11760
0.02494	15600	11750
0.02497	15600	11750
0.02499	15610	11740
0.025	15610	11740
0.025	15610	11740
0.025	15610	11740
0.025	15610	11740
0.025	15610	11740
0.025	15610	11740
0.025	15610	11740
0.02501	15610	11740
0.02501	15610	11740
0.02503	15610	11740
0.02504	15610	11730
0.02505	15620	11730
0.02506	15620	11730
0.02508	15620	11730
0.02509	15620	11720
0.0251	15620	11720
0.02511	15630	11720
0.02513	15630	11720
0.02514	15630	11720
0.02515	15630	11710
0.02516	15630	11710
0.02518	15640	11710
0.02519	15640	11710
0.0252	15640	11710
0.02521	15640	11700
0.02523	15640	11700
0.02524	15650	11700
0.02525	15650	11700
0.02526	15650	11690
0.02528	15650	11690
0.02529	15650	11690
0.0253	15650	11690
0.02531	15660	11680
0.02533	15660	11680
0.02534	15660	11680
0.02535	15660	11680
0.02536	15660	11680
0.02538	15670	11670
0.02539	15670	11670
0.0254	15670	11670
0.02542	15670	11670
0.02543	15670	11660
0.02544	15680	11660
0.02546	15680	11660
0.02547	15680	11660
0.02548	15680	11660
0.0255	15680	11650
0.02551	15680	11650
0.02552	15690	11650
0.02554	15690	11650
0.02555	15690	11640
0.02556	15690	11640
0.02558	15690	11640
0.02559	15700	11640
0.0256	15700	11640
0.02562	15700	11630
0.02563	15700	11630
0.02564	15700	11630
0.02566	15710	11630
0.02567	15710	11620
0.02569	15710	11620
0.0257	15710	11620
0.02571	15710	11620
0.02573	15710	11610
0.02574	15720	11610
0.02576	15720	11610
0.02577	15720	11610
0.02579	15720	11610
0.0258	15720	11600
0.02581	15730	11600
0.02583	15730	11600
0.02584	15730	11600
0.02586	15730	11590
0.02587	15730	11590
0.02589	15740	11590
0.0259	15740	11590
0.02592	15740	11580
